c_breastf,n,mu_eff,mu_sd,var_pre_eff,var_pre_sd,var_post_delta,var_post_sd,mu_eff_centered,mu_eff_ratio_p90
23,2,-0.524244,0.12232872,1.2332978,0.3058323,1.2332977652549744,0.3058322841920259,0.15973145,0.4015148
30,1,-0.54363906,,1.3602139,,1.3602138757705688,,0.1403364,0.35276172
27,1,-0.6157807,,1.2839824,,1.2839823961257935,,0.06819475,0.17142022
21,20,-0.63969374,0.08806338,1.4619927,0.21293128,1.461992734670639,0.21293128109665435,0.04428172,0.11131036
10,12,-0.65137166,0.07536473,1.5074342,0.16363347,1.5074341694513957,0.16363346278942595,0.0326038,0.08195573
25,5,-0.65262926,0.10825371,1.5459515,0.18218814,1.5459514141082764,0.1821881324538764,0.031346202,0.078794524
13,15,-0.66549516,0.103659,1.5041853,0.19345462,1.5041853745778402,0.19345462923938556,0.0184803,0.046453685
1,126,-0.66696835,0.109091245,1.4782201,0.1988653,1.4782201108478366,0.1988652893585258,0.017007113,0.04275055
12,40,-0.6688396,0.11626184,1.4567267,0.22059374,1.4567266136407853,0.22059372976730102,0.015135884,0.038046867
28,1,-0.6689964,,1.7212108,,1.7212108373641968,,0.014979064,0.03765267
6,7,-0.6720651,0.13792232,1.4894321,0.29502273,1.4894321135112218,0.29502273611046576,0.011910379,0.029938959
11,7,-0.67374116,0.104086,1.4338447,0.1666007,1.4338447366442,0.1666007013047649,0.010234296,0.025725812
9,10,-0.6777671,0.102124125,1.5395916,0.19829625,1.5395915508270264,0.19829624548760855,0.00620836,0.015605872
0,235,-0.6796796,0.10607818,1.4802977,0.20029427,1.4802976582912688,0.20029426594728397,0.0042958856,0.010798509
15,24,-0.6799714,0.10848051,1.4919113,0.21838565,1.4919112771749496,0.21838564841016656,0.004004061,0.010064955
3,2,-0.6807582,0.049430583,1.555574,0.19180879,1.5555740594863892,0.19180879028653236,0.00321728,0.008087233
18,165,-0.6836841,0.11214175,1.4985405,0.20659387,1.4985405141657049,0.20659386656371367,0.0002913475,0.0007323563
14,54,-0.6849589,0.1224716,1.4966562,0.22662489,1.496656216956951,0.22662489597891153,-0.000983417,-0.002472002
2,6,-0.6922578,0.09384788,1.5259662,0.19534117,1.5259661078453064,0.19534117256043276,-0.008282363,-0.020819265
17,55,-0.69262445,0.11548205,1.5017564,0.19872184,1.5017563624815506,0.1987218465105685,-0.008648992,-0.021740854
24,30,-0.6972305,0.10268947,1.4784315,0.17959289,1.478431491057078,0.1795928857084994,-0.01325506,-0.033319063
16,47,-0.7044519,0.12549722,1.4960659,0.23215355,1.4960658271261986,0.2321535427423659,-0.02047646,-0.0514714
19,72,-0.71098715,0.109682225,1.5354011,0.20721732,1.5354011671410666,0.20721731864751758,-0.027011693,-0.06789893
22,7,-0.7113355,0.07982616,1.5020571,0.16064908,1.5020570755004883,0.16064907563561834,-0.027360022,-0.06877452
20,49,-0.7203867,0.12921642,1.578853,0.2078371,1.578853042758241,0.20783710566352276,-0.036411226,-0.091526404
5,2,-0.75506914,0.0746867,1.6986705,0.19336265,1.698670506477356,0.193362660297432,-0.07109368,-0.17870723
8,5,-0.759591,0.16843538,1.6043688,0.2932382,1.6043687105178832,0.2932381862322306,-0.075615525,-0.19007373
