district,n,mu_eff,mu_sd,var_pre_eff,var_pre_sd,var_post_delta,var_post_sd,mu_eff_centered,mu_eff_ratio_p90
75,14,-0.9031563,0.0,1.9304401,0.0,1.930440068244934,0.0,0.063304424,0.14781424
36,19,-0.92580867,0.005485532,1.9544734,0.0058199493,1.9544734515641864,0.005819949397777621,0.040652037,0.09492149
52,43,-0.9285187,0.11245874,2.0209718,0.089830786,2.0209718221841855,0.08983078449446169,0.037941992,0.0885936
53,199,-0.93150574,0.11479103,2.0071836,0.23319729,2.0071834882899147,0.23319728488879074,0.034954965,0.08161897
88,5,-0.9318736,0.0,2.0647628,0.0,2.064762830734253,0.0,0.034587085,0.08075998
42,106,-0.9466307,0.109277405,2.0016932,0.18738753,2.001693306104192,0.18738753088476096,0.019829988,0.046302527
65,101,-0.97659695,0.12622395,2.068574,0.29182708,2.068574034341491,0.29182707740357855,-0.010136247,-0.023667883
61,258,-0.9820961,0.12888123,2.129178,0.27983972,2.1291779584662858,0.27983973404894213,-0.015635371,-0.036508203
44,118,-0.9879333,0.16640726,2.2105212,0.3232688,2.210521031234224,0.32326879393953023,-0.021472573,-0.050137922
81,85,-0.9916361,0.20920387,2.0786448,0.35345393,2.0786447833566104,0.35345393924787544,-0.025175393,-0.058783915
41,52,-1.0201093,0.11555375,2.1026082,0.15810978,2.1026083483145785,0.15810977799804946,-0.05364859,-0.12526812
