bin,n,x_center,mu_eff,mu_sd,var_pre_eff,var_pre_sd,var_post_delta,var_post_sd,mu_eff_centered,mu_eff_ratio_p90
"(14.249, 18.5]",101,17.05363,-0.33631262,0.15328316,1.0085813,0.39153683,1.008581261233528,0.3915368284679896,-0.029702365,-0.062792934
"(18.5, 21.0]",101,19.915841386138613,-0.31149668,0.15758312,0.93640476,0.40625235,0.9364047974052996,0.40625235924401704,-0.0048864186,-0.01033024
"(21.0, 22.392]",98,21.677721224489794,-0.30494255,0.14776115,0.9340731,0.38781375,0.9340730774767545,0.38781373449536416,0.0016677082,0.0035256548
"(22.392, 23.917]",102,23.209967254901958,-0.32691017,0.15507282,0.98282415,0.4059113,0.9828241254184761,0.40591129190533926,-0.020299911,-0.04291547
"(23.917, 25.833]",103,24.904530097087378,-0.30921572,0.13771863,0.9510531,0.37391084,0.9510530974101095,0.3739108553247291,-0.002605468,-0.0055081467
"(25.833, 27.5]",98,26.712584897959186,-0.29726958,0.13579844,0.89470595,0.3499564,0.8947059566877327,0.3499563843381577,0.009340674,0.019746855
"(27.5, 29.5]",101,28.504950099009903,-0.29283738,0.13675062,0.8996802,0.36503702,0.8996802063861696,0.3650370097454988,0.013772875,0.029116847
"(29.5, 31.75]",97,30.67611670103093,-0.28687522,0.13097058,0.8772159,0.35445493,0.8772159449218475,0.35445494436803543,0.019735038,0.041721288
"(31.75, 35.333]",101,33.44554445544554,-0.27867997,0.14615713,0.84880155,0.3801508,0.8488015570853016,0.3801507922875352,0.02793029,0.059046637
"(35.333, 47.667]",98,38.68027224489796,-0.3206177,0.14422609,0.9628009,0.35848963,0.9628009358230902,0.35848963593001604,-0.014007449,-0.029612754
