bin,n,x_center,mu_eff,mu_sd,var_pre_eff,var_pre_sd,var_post_delta,var_post_sd,mu_eff_centered,mu_eff_ratio_p90
"(15.549000000000001, 18.86]",101,17.853465346534655,-8.504484,5.133854,8.800954,4.899529,8.8009536962698,4.899528958275002,-1.4765658,-0.10438251
"(18.86, 19.778]",99,19.283232323232323,-6.8075557,4.4216013,7.2161994,4.215624,7.216199624418008,4.215624008478209,0.22036266,0.015578044
"(19.778, 20.67]",102,20.24911764705882,-7.8232484,4.425573,8.293845,4.1524606,8.293844685834998,4.152460532533713,-0.79533005,-0.05622407
"(20.67, 21.62]",99,21.164242424242428,-7.1273656,4.4827194,7.559918,4.295111,7.559917787108758,4.295111127542916,-0.09944725,-0.0070301997
"(21.62, 22.35]",103,22.00592233009709,-6.78768,4.1431484,7.34841,3.907689,7.348410099455454,3.9076891103313467,0.24023819,0.0169831
"(22.35, 23.144]",96,22.76364583333333,-7.762529,4.7112403,8.257627,4.4512386,8.257626295089722,4.451238483431351,-0.73461056,-0.051931642
"(23.144, 24.273]",100,23.7079,-7.233809,4.849835,7.575662,4.671057,7.575662064552307,4.671057083436293,-0.20589066,-0.014554977
"(24.273, 25.952]",100,25.0803,-6.3061376,4.320411,6.6554565,4.1721888,6.655456546545029,4.172188559974248,0.7217808,0.05102467
"(25.952, 28.4]",101,27.065445544554457,-5.4580865,3.9719436,5.8463545,3.873042,5.846354429084475,3.87304211187592,1.5698318,0.110975735
"(28.4, 37.43]",99,31.44787878787879,-6.4832535,4.3783865,6.8760242,4.2281117,6.876024245011686,4.228111537617259,0.54466486,0.03850386
