bin,n,x_center,mu_eff,mu_sd,var_pre_eff,var_pre_sd,var_post_delta,var_post_sd,mu_eff_centered,mu_eff_ratio_p90
"(143.69899999999998, 151.5]",103,149.11941747572814,-1.9132484,1.0775644,3.469502,1.6962404,3.4695019264823026,1.696240421460086,-0.11400628,-0.032735232
"(151.5, 154.0]",99,152.99797979797978,-1.8511195,1.0395777,3.2654335,1.6833234,3.2654336052711566,1.6833233273370616,-0.05187738,-0.014895829
"(154.0, 155.7]",100,154.909,-2.0147626,1.0618486,3.5455158,1.6884341,3.5455156743526457,1.688434089849739,-0.2155205,-0.061883554
"(155.7, 157.1]",99,156.45252525252525,-1.7153287,0.9387663,3.0916758,1.5374926,3.0916755813540835,1.53749263760803,0.083913445,0.024094516
"(157.1, 159.0]",101,158.0811881188119,-1.9085231,1.1075633,3.3762422,1.772437,3.3762420463089895,1.7724369751043965,-0.109280944,-0.031378422
"(159.0, 160.7]",106,159.8556603773585,-1.8804262,1.2082874,3.363341,1.9384038,3.3633409935348437,1.9384038716351928,-0.08118403,-0.023310805
"(160.7, 162.2]",98,161.54183673469387,-1.6877798,1.0374495,3.046242,1.707642,3.046241810735391,1.707641952380861,0.111462355,0.03200478
"(162.2, 164.1]",98,163.2214285714286,-1.718484,1.0088179,3.1151726,1.6737856,3.1151726720284443,1.6737855890336517,0.080758095,0.023188503
"(164.1, 166.63]",96,165.25833333333333,-1.7784878,0.8924982,3.196101,1.4744493,3.196100968246659,1.4744492742200852,0.020754337,0.0059593036
"(166.63, 177.2]",100,169.68,-1.5098832,0.9033688,2.7846038,1.5188122,2.7846038371324537,1.5188121843252183,0.28935897,0.08308519
